품목,등급,EST,평균중량,창고/유통기한,비고,단가,날짜,업체,브랜드,원산지,창고
갈비,CH,86R/M,,,,14200,2026/01/19,TMS,강남/2,,
목뼈,,,,,,2100,2026/01/19,독보팜스,고원돈,국산,아이린
목뼈,,,,,,2100,2026/01/19,독보팜스,고원돈,국산,아이린
삼겹살,,,,,,9500,2026/01/19,독보팜스,고원돈,국산,오로라
암퇘지삼겹,,,,,,9100,2026/01/19,독보팜스,고원돈,국산,오로라
미박삼겹,,,,,진공,7100,2026-01-21,,곰박스,네덜란드,동탄한라
미박삼겹,,22.5,,,,9000,2026/01/19,우진미트,그로스퍼트너,오스트리아,
삼겹살,,19,,,,9400,2026/01/19,우진미트,그로스퍼트너,오스트리아,
양깃머리,,12.1,,,,14500,2026/01/19,우진미트,그리니아,뉴질랜드,
갈비,A,24.8,,,,11000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
늑간,YG,16.9,,,,17000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
대동맥,,,,,,8000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
목뼈,,,,,,28000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
볼살,,13.6,,,,9500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
사태,S,22,,,,11500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
사태,A,18.6,,,,11000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
안심,A,,,,,29500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
우둔,YG,20,,,,15000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
우둔,A,19.5,,,,14800,2026/01/19,우진미트,그린마운틴(HALAL),호주,
차돌양지,YG,19.8,,,,12500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
차돌양지,A,19.8,,,,12000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
척갈비,S,24.5,,,,11200,2026/01/19,우진미트,그린마운틴(HALAL),호주,
척갈비,A,24.1,,,,10800,2026/01/19,우진미트,그린마운틴(HALAL),호주,
척늑간,YG,16.9,,,,16500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
포쿼터,85CL,27.2,,,,10300,2026/01/19,우진미트,그린마운틴(HALAL),호주,
학스지,,13,,,,6000,2026/01/19,우진미트,그린마운틴(HALAL),호주,
홍두깨,YG,20.4,,,,15500,2026/01/19,우진미트,그린마운틴(HALAL),호주,
갈비,YP,,,,,18000,2026/01/19,우진미트,그린스톡(올웰스),호주,
늑간,YP,,,,,17500,2026/01/19,우진미트,그린스톡(올웰스),호주,
등갈비,S,22.9,,,,11200,2026/01/19,우진미트,그린스톡(올웰스),호주,
등갈비,S,22.3,,,,11000,2026/01/19,우진미트,그린스톡(올웰스),호주,
목뼈,S,,,,,28000,2026/01/19,우진미트,그린스톡(올웰스),호주,
목심,YP,18.6,,,,14700,2026/01/19,우진미트,그린스톡(올웰스),호주,
목심,YP,16.8,,,,14500,2026/01/19,우진미트,그린스톡(올웰스),호주,
볼라전각,YP,15.9,,,,13800,2026/01/19,우진미트,그린스톡(올웰스),호주,
차돌양지,YP,,,,,12800,2026/01/19,우진미트,그린스톡(올웰스),호주,
척갈비,YP,,,,,12600,2026/01/19,우진미트,그린스톡(올웰스),호주,
홍두깨,YP,22.8,,,,15500,2026/01/19,우진미트,그린스톡(올웰스),호주,
깐양,beef,,,,개별,3400,2026-01-21,,그린햄,호주,
목심,A/S,,,,진공,14000/14500,2026-01-21,,그린햄,호주,아주기흥
차돌양지,A/S,,,,진공,11800/12300,2026-01-21,,그린햄,호주,동탄한라
잡육,50CL,,,,,6500,2026/01/19,우진미트,놀란,호주,
갈비,PS,#131(랜드미트),,5Ribs 개별포장,,16500,2026/01/20,,뉴질랜드/AFFCO,,
갈비,Bull,#23 #32 #47,,5Ribs 개별포장,,15800,2026/01/20,,뉴질랜드/AFFCO,,
목심,PS,#32,,진공포장,,14400,2026/01/20,,뉴질랜드/AFFCO,,
양깃머리,Beef,#23 #32 #47,900g UP,,협의,협의,2026/01/20,,뉴질랜드/AFFCO,,
목심,PS,#18 #21 #136,,진공포장,,14400,2026/01/20,,뉴질랜드/Alliance,,
백립,PS+Bull,#18 #21 #136,,다중포장,,9200,2026/01/20,,뉴질랜드/Alliance,,
양깃머리,700g up,#18 #21 #136,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Alliance,,
양깃머리,5~700g,#18 #21 #136,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Alliance,,
양깃머리,3~500g,#18 #21 #136,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Alliance,,
양지,PS,#18 #21 #136,,진공포장,,12800,2026/01/20,,뉴질랜드/Alliance,,
우목뼈,Beef,#18 #21 #136,,개별포장,,2800,2026/01/20,,뉴질랜드/Alliance,,
갈비,PS,#66 #70 #78,,5Ribs 진공포장,,17000,2026/01/20,,뉴질랜드/Canterbury,,
갈비,Bull,#66 #70 #78,,5Ribs 개별포장,,15800,2026/01/20,,뉴질랜드/Canterbury,,
갈비,COW,#66 #70 #78,,5Ribs 개별포장,,10200,2026/01/20,,뉴질랜드/Canterbury,,
뒷갈비,COW,#66 #70 #78,,5Ribs 개별포장,,8300,2026/01/20,,뉴질랜드/Canterbury,,
양깃머리,700g up,#66 #70 #78,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Canterbury,,
양깃머리,5~700g,#66 #70 #78,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Canterbury,,
양깃머리,3~500g,#66 #70 #78,,개별포장,협의,협의,2026/01/20,,뉴질랜드/Canterbury,,
우둔,PS,#66 #70 #78,,개별포장,,12000,2026/01/20,,뉴질랜드/Canterbury,,
채끝,COW,#66 #70 #78,,개별포장(100 VL),,14000,2026/01/20,,뉴질랜드/Canterbury,,
홍두깨,PS,#66 #70 #78,,개별포장,,14000,2026/01/20,,뉴질랜드/Canterbury,,
갈비,Bull,#82 #124,,삼진1,,15800,2026/01/20,,뉴질랜드/GREENLEA,,
갈비,COW,#84,,개별포장,,10200,2026/01/20,,뉴질랜드/PPCS(실버팜스),,
백립,PS,#84,,다중포장,,9200,2026/01/20,,뉴질랜드/PPCS(실버팜스),,
볼살,Beef,#84,,벌크포장,,9900,2026/01/20,,뉴질랜드/PPCS(실버팜스),,
스페어립,PS,#84,,다중포장,,7500,2026/01/20,,뉴질랜드/PPCS(실버팜스),,
양깃머리,700g up,#84,,개별포장,,15000,2026/01/20,,뉴질랜드/PPCS(실버팜스),,
갈비,YP/S,17.5,,,,18000,2026/01/19,우진미트,다이아몬드,호주,
갈비,A,18.4,,,,12000,2026/01/19,우진미트,다이아몬드,호주,
갈비,A,23.9,,,,11600,2026/01/19,우진미트,다이아몬드,호주,
꼬리,,14.8,,,,18500,2026/01/19,우진미트,다이아몬드,호주,
늑간,A,38,,,,20000,2026/01/19,금성컴퍼니,다이아몬드,캐나다,
대동맥,,22.3,,,,8000,2026/01/19,우진미트,다이아몬드,호주,
등갈비,YP/S,19.5,,,,10000,2026/01/19,우진미트,다이아몬드,호주,
등갈비,A,23.6,,,,7200,2026/01/19,우진미트,다이아몬드,호주,
목심,YP/S,21.4,,,,14500,2026/01/19,우진미트,다이아몬드,호주,
목심,A,20.5,,,,13900,2026/01/19,우진미트,다이아몬드,호주,
볼살,,27,,,,9200,2026/01/19,우진미트,다이아몬드,호주,
사태,YP,21.9,,,,11500,2026/01/19,우진미트,다이아몬드,호주,
삼겹양지,YP/S,21.4,,,,8600,2026/01/19,우진미트,다이아몬드,호주,
설깃,YP/S,21.4,,,,12500,2026/01/19,우진미트,다이아몬드,호주,
설도,S,22.8,,,,13300,2026/01/19,우진미트,다이아몬드,호주,
설도,A,21.5,,,,13000,2026/01/19,우진미트,다이아몬드,호주,
스페어립,YP/S,20.2,,,,8000,2026/01/19,우진미트,다이아몬드,호주,
스페어립,A,26,,,,6000,2026/01/19,우진미트,다이아몬드,호주,
안심,A,20.1,,,,30000,2026/01/19,우진미트,다이아몬드,호주,
안심,A,,,,,29500,2026/01/19,우진미트,다이아몬드,호주,
양깃머리,,14.2,,,,10000,2026/01/19,우진미트,다이아몬드,호주,
양깃머리,,16.7,,,,13000,2026/01/19,우진미트,다이아몬드,호주,
양깃머리,,17.9,,,,15000,2026/01/19,우진미트,다이아몬드,호주,
우둔,S,23.2,,,,15000,2026/01/19,우진미트,다이아몬드,호주,
우둔,A,21.4,,,,14800,2026/01/19,우진미트,다이아몬드,호주,
전각,YP/S,19.5,,,,12200,2026/01/19,우진미트,다이아몬드,호주,
전각,A,17.9,,,,12000,2026/01/19,우진미트,다이아몬드,호주,
조각스페어립,A,23.3,,,,45000,2026/01/19,우진미트,다이아몬드,호주,
차돌양지,YP/S,17,,,,12600,2026/01/19,우진미트,다이아몬드,호주,
차돌양지,A,17,,,,12000,2026/01/19,우진미트,다이아몬드,호주,
척갈비,YP/S,16,,,,12400,2026/01/19,우진미트,다이아몬드,호주,
척갈비,A,18.9,,,,11200,2026/01/19,우진미트,다이아몬드,호주,
홍두깨,YP/S,24.7,,,,15500,2026/01/19,우진미트,다이아몬드,호주,
홍두깨,A,21.6,,,,15300,2026/01/19,우진미트,다이아몬드,호주,
황제늑간,,,,,,16000,2026/01/19,금성컴퍼니,다이아몬드,캐나다,
갈비,,16.5,,,,14000,2026/01/19,우진미트,대니쉬크라운,덴마크,
우신,,22.5,,,,15000,2026/01/19,우진미트,대니쉬크라운,덴마크,
갈비,CH,86R,,,,14200,2026/01/19,TMS,대재,,
갈비,,12.7,,,,14500,2026/01/19,우진미트,던미트(아일랜드),아일랜드,
삼겹양지,,21.7,,,,8500,2026/01/19,우진미트,던미트(아일랜드),아일랜드,
척갈비,,13.5,,,,14000,2026/01/19,우진미트,던미트(아일랜드),아일랜드,
학스지,,20.1,,,,6000,2026/01/19,우진미트,던미트(아일랜드),아일랜드,
돈갈비,,,,,,5400,2026/01/19,금성컴퍼니,델라비,,
미니족,,,,,,2600,2026/01/19,금성컴퍼니,델라비,,
삼겹살,,,,,,8600,2026/01/19,금성컴퍼니,델라비,,
백립,,,,,살밥우수,11400,2026-01-21,,뎀코타,미국,아주기흥
홍창,,,,,스페쿠수,7000,2026-01-21,,뎀코타,미국,
삼겹살,,688,14.75,삼진2,,8900,2026/01/20,,독일/테니시,,
척갈비,PSA,86E,,,,11700,2026/01/19,HelloFarms,디스코스팟,,
미추리삼겹,,11.5,,,,5800,2026/01/19,우진미트,라프탈,오스트리아,
삼겹살,,15,,,,9200,2026/01/19,우진미트,라프탈,오스트리아,
꼬리,beef,,,,개별,18500,2026-01-21,,랄프,호주,
차돌양지,S,,,,진공,12100,2026-01-21,,랄프,미국,동탄한라
목심,S,21.8,,,,14400,2026/01/19,우진미트,랄프(HALAL),호주,
목심,A,22,,,,13900,2026/01/19,우진미트,랄프(HALAL),호주,
볼살,,27.2,,,,9500,2026/01/19,우진미트,랄프(HALAL),호주,
전각,S,21.7,,,,12000,2026/01/19,우진미트,랄프(HALAL),호주,
차돌양지,S,23.8,,,,12400,2026/01/19,우진미트,랄프(HALAL),호주,
차돌양지,A,23.4,,,,12000,2026/01/19,우진미트,랄프(HALAL),호주,
갈비,C,"43,119",,,,10200,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
깐양,,119,,,,4900,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
양깃머리,3~5,"43,119",,,,11100,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
양깃머리,5~7,"43,119",,,,15100,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
양깃머리,7~,"43,119",,,,18200,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
우둔,PS,"43,119",,,,12100,2026/01/19,아빠고기,"리버랜드, ANZCO",뉴질랜드,
돈갈비,,,,,진공,5000,2026-01-21,,마처,오스트리아,동탄한라
돈갈비,,,,,진공,5200,2026-01-21,,마치(MARCHER),오스트리아,대정
이겹,,,,,,7000,2026/01/19,비아이인터내셔널,마프리세스,,
목심,GF,,,,,14400,2026/01/19,금성컴퍼니,메라미스트,호주,
전각,GF,3416,,,,12000,2026/01/19,금성컴퍼니,메라미스트,호주,
목뼈,비규격,7,,,,2000,2026/01/19,EumyeongFoods,메이플,,
목뼈,,,,,,1870,2026/01/19,아빠고기,메이플,캐나다,
목뼈,비규격,7,15.49,,,2000,2026-01-21,,메이플,캐나다,캐나다
목전지,,,,,,5500,2026/01/19,비아이인터내셔널,메이플,,
돈등심,,7,,,,5500,2026-01-21,,메이플(MAPLE),캐나다,삼진2
목전지,,7,,,,1950,2026-01-21,,메이플(MAPLE),캐나다,SWC
미추리 삼겹,,,,,진공,7500,2026-01-21,,몬트로델,스페인,동탄한라
삼겹살,,,,,진공,7700,2026-01-21,,몬트로델,스페인,동탄한라
막창,,717M,10,강동2/삼진2,10kg 규격,4800,2026/01/20,,미국/스미스필드,,
목전지,미국,18079,17,삼진1,,5700,2026/01/20,,미국/스미스필드,,
목전지,미국,413,17,삼진1,,5650,2026/01/20,,미국/스미스필드,,
갈비,PR,86M,31.1,강동2,,23500,2026/01/20,,미국/EXCEL,,
갈비,PR,86E,28.6,강동2,,20000,2026/01/20,,미국/EXCEL,,
갈비,CAB,86E,29.3,강동2,,18000,2026/01/20,,미국/EXCEL,,
갈비,CH,86M,30.1,강동2,,20800,2026/01/20,,미국/EXCEL,,
갈비,CH,86K,25.4,강동2,,18000,2026/01/20,,미국/EXCEL,,
갈비,CH,86E,28.5/28.1,강동2/삼진2,,17800,2026/01/20,,미국/EXCEL,,
갈비,CH,86M,30,"강동2, 삼진2",,20700,2026/01/20,,미국/EXCEL,,
갈비,CH,86K,25.3,"CS, 대전",,18000,2026/01/20,,미국/EXCEL,,
갈비,CH,86E,27.6,강동2,,17700,2026/01/20,,미국/EXCEL,,
갈비,SE,86M,27.38,강동1,,18200,2026/01/20,,미국/EXCEL,,
냉장알목심,PR,86M,17.51,오로라CS /2026-02-18,,20500,2026/01/20,,미국/EXCEL,,
냉장알목심,PR,86M,18.59,오로라CS /2026-03-03,,21000,2026/01/20,,미국/EXCEL,,
냉장알목심,CAB,86K,20.35,오로라CS /2026-02-28,,20000,2026/01/20,,미국/EXCEL,,
냉장알목심,CH,86M,22.32,오로라CS /2026-03-03,,19500,2026/01/20,,미국/EXCEL,,
뒷사골,"PR,UN",86M,18.5,"CS, 대전, 강동2",,2300,2026/01/20,,미국/EXCEL,,
뒷스지,UN,86M,27.2,"아주차인, 강동2",,4600,2026/01/20,,미국/EXCEL,,
목뼈,UN,86R,28.8,삼진2,,3600,2026/01/20,,미국/EXCEL,,
백립,"SE,TCH",86E,29,"CS, 오로라, 강동2",,10900,2026/01/20,,미국/EXCEL,,
백립,"SE,TCH",86M(소량),28.13,강동2,,8000,2026/01/20,,미국/EXCEL,,
백립,"SE,TCH",86R,30,"아주차인, 오로라",,8000,2026/01/20,,미국/EXCEL,,
백립,"SE,TCH",86K,30,강동2,,7400,2026/01/20,,미국/EXCEL,,
볼라전각,CH,86K,29,오로라,,14000,2026/01/20,,미국/EXCEL,,
볼라전각,CH,"86E,86M",29.1,"강동1, CS",,14000,2026/01/20,,미국/EXCEL,,
부채,TCH,86M/86K(소량),22,SWC / 프라자,,19500,2026/01/20,,미국/EXCEL,,
사골,PR,86M,18.7,이스트벨리,,2200,2026/01/20,,미국/EXCEL,,
사태,CH/UN,86K,18.8,삼진2,,15800,2026/01/20,,미국/EXCEL,,
삼겹양지,UN,"86M,86E",27,강동2,88/89,8800/8900,2026/01/20,,미국/EXCEL,,
삼겹양지,UN,86M/86R,30,"효성 / 삼진2, 아주기흥",,8800,2026/01/20,,미국/EXCEL,,
스지,UN,86E/86K,6.8,강동2/삼진2,,6800/6900,2026/01/20,,미국/EXCEL,,
알목심,CH,86E/86M,23,"삼진2 / 아주차인, 기흥",,16900,2026/01/20,,미국/EXCEL,,
앞스지,UN,86M,6.8,"삼진1, CS",,7000,2026/01/20,,미국/EXCEL,,
앞스지,UN,"86K,86R,86E",6.8,강동2,,7000,2026/01/20,,미국/EXCEL,,
조각삼겹양지,UN,86K,28.3,강동2,,8000,2026/01/20,,미국/EXCEL,,
조각삼겹양지,UN,86M,27.8,삼진1,,7800,2026/01/20,,미국/EXCEL,,
차돌박이,TCH,86E,25,신우,,13200,2026/01/20,,미국/EXCEL,,
차돌양지,CH,"86E,86K",27.6,CS,,13200,2026/01/20,,미국/EXCEL,,
척갈비,CH,86M,26.2,삼진2,,14200,2026/01/20,,미국/EXCEL,,
척갈비,CH,86K,27.7,삼진2,,14100,2026/01/20,,미국/EXCEL,,
척갈비,CH,86E,25.1,강동2,,14000,2026/01/20,,미국/EXCEL,,
척갈비,CH,86M,24~26,"CS, 강동1, 삼진2",,14200,2026/01/20,,미국/EXCEL,,
척갈비,CH,86R,26~27,강동2,,14200,2026/01/20,,미국/EXCEL,,
척갈비,CH,86E,23~24,"강동1, 강동2",,14000,2026/01/20,,미국/EXCEL,,
척백립(BBQ),UN,86R,30,CS,,11200,2026/01/20,,미국/EXCEL,,
홍창,UN,86M/86K,6.8,강동2/삼진2,,5000,2026/01/20,,미국/EXCEL,,
황제늑간,UN,86M,17.7,삼진2,,15500,2026/01/20,,미국/EXCEL,,
갈비,CAB,245E,30,"강동1, CH",,20500,2026/01/20,,미국/IBP,,
갈비,CH,245E,30.3,세미,,19500,2026/01/20,,미국/IBP,,
갈비,UN,278,28.5,세미,,18000,2026/01/20,,미국/IBP,,
냉장진갈비,PR,245L,28.57,CH혼류 /2026-02-14,,55000,2026/01/20,,미국/IBP,,
척갈비,CAB,245E,28,세미,,15400,2026/01/20,,미국/IBP,,
삼겹양지,UN,19336,30,삼진1,,8700,2026/01/20,,미국/NB,,
냉장알목심,PR,262,17.92,강동1 /2026-03-01,,24500,2026/01/20,,미국/NBP,,
백립,UN,337,23,CS,,10300,2026/01/20,,미국/STX(삼구원),,
냉장알목심,PR,969,16.47,대전냉장 /2026-02-01,,19500,2026/01/20,,미국/SWIFT,,
냉장알목심,PR,969G,19.38,대전냉장 /2026-02-07,,19500,2026/01/20,,미국/SWIFT,,
볼라전각,CH,969(소량),30,삼진2,,14000,2026/01/20,,미국/SWIFT,,
삼겹양지,UN,969/969G,34,"선우, 대찌 / 아주용인",,8900,2026/01/20,,미국/SWIFT,,
막창,가공막창,,,,키로컷팅/500g포장,13000,2026-01-21,,미국산,미국산돈육,본사창고
늑간,LAMB,16.8,,,,18000,2026/01/19,우진미트,미드필드,뉴질랜드,
목심,A,,,,냉동우육,14100,2026/01/19,더상상,미드필드,호주,
목심,A,21,,,,13900,2026/01/19,우진미트,미드필드(HALAL),호주,
볼라전각,S,,,,,13000,2026/01/19,우진미트,미드필드(HALAL),호주,
볼살,BEEF,27.2,,,,9500,2026/01/19,우진미트,미드필드(HALAL),호주,
설도,A,22.8,,,,13000,2026/01/19,우진미트,미드필드(HALAL),호주,
차돌양지,S,18.5,,,,12400,2026/01/19,우진미트,미드필드(HALAL),호주,
홍두깨,S,20.7,,,,15500,2026/01/19,우진미트,미드필드(HALAL),호주,
홍두깨,A,20.9,,,,15300,2026/01/19,우진미트,미드필드(HALAL),호주,
목뼈,,,,,,1800,2026/01/19,아빠고기,반루이,네덜란드,
삼겹살,,,,,,9400,2026/01/19,MLP,반루이,,
로인립(8~10),,129,,,,11500,2026-01-21,,베나드(BERNARD),프랑스,강동1
닭정육,,,12,현라동탄,12kg 규격,4500,2026/01/20,,브라질/페르디가오,,
삼겹양지,,,,,,8800,2026-01-21,,브롤리,미국,아주기흥
BBQ,,,,,,10000,2026-01-21,,브롤리,미국,
돈목살,,,,,,3500,2026-01-21,,사사(SASA),멕시코,삼진2
늑간,,,,,,15800,2026-01-21,,수카르네(SUKARNE),,삼진2
홍창,,,,,,5500,2026-01-21,,수카르네(SUKARNE),,삼진2
가브리,,,,,,10200,2026/01/19,비아이인터내셔널,슈퍼포크,,
등뼈,,2,,,,1900,2026/01/19,비아이인터내셔널,슈퍼포크,,
목뼈,,6,,,,2200,2026/01/19,비아이인터내셔널,슈퍼포크,,
목살,,6-2,,,,7200,2026/01/19,비아이인터내셔널,슈퍼포크,,
미박삼겹,,,,,,9000,2026/01/19,비아이인터내셔널,슈퍼포크,,
삼겹살,,6,,,,9400,2026/01/19,비아이인터내셔널,슈퍼포크,,
작업항정,,,,,,16200,2026/01/19,비아이인터내셔널,슈퍼포크,,
